sourceIri,relation,targetIri
proc:Task_23033_action_loosen,ompd:hasPatient,proc:Task_23033_object_mounting_bolt
proc:Task_23033_action_removed,ompd:hasPatient,proc:Task_23033_object_bolt
proc:Task_23034_action_twist,ompd:hasPatient,proc:Task_23034_object_ignition_coil
proc:Task_23034_action_twist,ompd:hasPatient,proc:Task_23034_object_spark_plug_boot
proc:Task_23034_action_lifting,ompd:hasPatient,proc:Task_23034_object_ignition_coil
proc:Task_23034_action_remove,ompd:hasPatient,proc:Task_23034_object_ignition_coil
proc:Task_23034_action_break,ompd:hasPatient,proc:Task_23034_object_spark_plug
proc:Task_23035_action_remove,ompd:hasPatient,proc:Task_23035_object_existing_spark_plug
proc:Task_23036_action_apply,ompd:hasPatient,proc:Task_23036_object_ribbed_portion
proc:Task_23036_action_place,ompd:hasPatient,proc:Task_23036_object_spark_plug_boot
proc:Task_23036_action_twist,ompd:hasPatient,proc:Task_23036_object_two_piece
proc:Task_23037_action_place,ompd:hasPatient,proc:Task_23037_object_new_spark_plug
proc:Task_23037_action_apply,ompd:hasPatient,proc:Task_23037_object_thread
proc:Task_23038_action_place,ompd:hasPatient,proc:Task_23038_object_new_spark_plug
proc:Task_23038_action_tighten,ompd:hasPatient,proc:Task_23038_object_new_spark_plug
proc:Task_23038_action_tighten,ompd:hasPatient,proc:Task_23038_object_spark_plug
proc:Task_23039_action_place,ompd:hasPatient,proc:Task_23039_object_ignition_coil
proc:Task_23039_action_place,ompd:hasPatient,proc:Task_23039_object_dust_boot
proc:Task_23039_action_reconnect,ompd:hasPatient,proc:Task_23039_object_ignition_coil
proc:Task_27942_action_pull,ompd:hasPatient,proc:Task_27942_object_hood_release_latch
proc:Task_27942_action_lift,ompd:hasPatient,proc:Task_27942_object_hood
proc:Task_27943_action_lift,ompd:hasPatient,proc:Task_27943_object_hood_prop_bar
proc:Task_27943_action_place,ompd:hasPatient,proc:Task_27943_object_hood_prop_bar
proc:Task_27944_action_pull,ompd:hasPatient,proc:Task_27944_object_each_tab
proc:Task_27944_action_twist,ompd:hasPatient,proc:Task_27944_object_each_tab
proc:Task_27944_action_fit,ompd:hasPatient,proc:Task_27944_object_each_tab
proc:Task_27944_action_pull,ompd:hasPatient,proc:Task_27944_object_top_of_the_engine_panel
proc:Task_27944_action_lift,ompd:hasPatient,proc:Task_27944_object_engine_panel
proc:Task_27944_action_remove,ompd:hasPatient,proc:Task_27944_object_engine_panel
proc:Task_27945_action_the_drain_plug,ompd:hasPatient,proc:Task_27945_object_17_mm_hex_bolt
proc:Task_27945_action_place,ompd:hasPatient,proc:Task_27945_object_oil_drain_pan
proc:Task_27945_action_loosen,ompd:hasPatient,proc:Task_27945_object_drain_plug
proc:Task_27946_action_loosen,ompd:hasPatient,proc:Task_27946_object_drain_plug
proc:Task_27946_action_come_out,ompd:hasPatient,proc:Task_27946_object_drain_plug
proc:Task_27947_action_wipe,ompd:hasPatient,proc:Task_27947_object_drain_plug
proc:Task_27947_action_remove,ompd:hasPatient,proc:Task_27947_object_old_drain_plug_gasket
proc:Task_27947_action_replace,ompd:hasPatient,proc:Task_27947_object_new_gasket
proc:Task_27948_action_reinstall,ompd:hasPatient,proc:Task_27948_object_drain_plug
proc:Task_27948_action_tighten,ompd:hasPatient,proc:Task_27948_object_drain_plug
proc:Task_27949_action_move,ompd:hasPatient,proc:Task_27949_object_oil_drain_pan
proc:Task_27949_action_remove,ompd:hasPatient,proc:Task_27949_object_oil_filter
proc:Task_27949_action_remove,ompd:hasPatient,proc:Task_27949_object_filter
proc:Task_27949_action_loosen,ompd:hasPatient,proc:Task_27949_object_filter
proc:Task_27949_action_continue,ompd:hasPatient,proc:Task_27949_object_filter
proc:Task_27949_action_place,ompd:hasPatient,proc:Task_27949_object_oil_filter
proc:Task_27950_action_spread,ompd:hasPatient,proc:Task_27950_object_layer
proc:Task_27950_action_place,ompd:hasPatient,proc:Task_27950_object_oil_filter
proc:Task_27950_action_turn,ompd:hasPatient,proc:Task_27950_object_oil_filter
proc:Task_27951_action_twist,ompd:hasPatient,proc:Task_27951_object_oil_filler
proc:Task_27951_action_remove,ompd:hasPatient,proc:Task_27951_object_cap
proc:Task_27952_action_place,ompd:hasPatient,proc:Task_27952_object_funnel
proc:Task_27952_action_hold,ompd:hasPatient,proc:Task_27952_object_funnel
proc:Task_27953_action_remove,ompd:hasPatient,proc:Task_27953_object_dipstick
proc:Task_27953_action_wipe,ompd:hasPatient,proc:Task_27953_object_dipstick
proc:Task_27953_action_reinsert,ompd:hasPatient,proc:Task_27953_object_dipstick
proc:Task_27954_action_place,ompd:hasPatient,proc:Task_27954_object_engine_panel
proc:Task_27954_action_secure,ompd:hasPatient,proc:Task_27954_object_engine_panel
proc:Task_27954_action_pulling,ompd:hasPatient,proc:Task_27954_object_retaining_tab
proc:Task_27954_action_laying,ompd:hasPatient,proc:Task_27954_object_retaining_tab
proc:Task_27955_action_hold,ompd:hasPatient,proc:Task_27955_object_hood
proc:Task_27955_action_use,ompd:hasPatient,proc:Task_27955_object_hood_prop
proc:Task_27955_action_return,ompd:hasPatient,proc:Task_27955_object_hood_prop
proc:Task_27955_action_close,ompd:hasPatient,proc:Task_27955_object_hood
proc:Task_27955_action_make_sure,ompd:hasPatient,proc:Task_27955_object_hood_latch
proc:Task_27955_action_engages,ompd:hasPatient,proc:Task_27955_object_hood_latch
proc:Task_38904_action_open,ompd:hasPatient,proc:Task_38904_object_rear_part
proc:Task_38906_action_pull,ompd:hasPatient,proc:Task_38906_object_console
proc:Task_38907_action_locate,ompd:hasPatient,proc:Task_38907_object_bolt
proc:Task_38907_action_loosen,ompd:hasPatient,proc:Task_38907_object_bolt
proc:Task_38908_action_wedge,ompd:hasPatient,proc:Task_38908_object_face_plate
proc:Task_38908_action_apply_pressure,ompd:hasPatient,proc:Task_38908_object_corner
proc:Task_39034_action_inspect,ompd:hasPatient,proc:Task_39034_object_center_console
proc:Task_132385_action_remove,ompd:hasPatient,proc:Task_132385_object_7.9_mm_nut
proc:Task_132385_action_remove,ompd:hasPatient,proc:Task_132385_object_l-bracket
proc:Task_132385_action_attempting_to_remove,ompd:hasPatient,proc:Task_132385_object_remaining_nut
proc:Task_132386_action_pull,ompd:hasPatient,proc:Task_132386_object_cover
proc:Task_132186_action_remove,ompd:hasPatient,proc:Task_132186_object_6_mm_screw
proc:Task_132186_action_hold,ompd:hasPatient,proc:Task_132186_object_brush_cover
proc:Task_132186_action_remove,ompd:hasPatient,proc:Task_132186_object_brush_cover_assembly
proc:Task_132186_action_separate,ompd:hasPatient,proc:Task_132186_object_rotor
proc:Task_132186_action_pull,ompd:hasPatient,proc:Task_132186_object_brush
proc:Task_132550_action_remove,ompd:hasPatient,proc:Task_132550_object_6_mm_screw
proc:Task_132552_action_locate,ompd:hasPatient,proc:Task_132552_object_3_6_mm_screw
proc:Task_132552_action_unscrew,ompd:hasPatient,proc:Task_132552_object_3_6_mm_screw
proc:Task_132560_action_locate,ompd:hasPatient,proc:Task_132560_object_copper_lead
proc:Task_132560_action_connecting,ompd:hasPatient,proc:Task_132560_object_bridge_assembly
proc:Task_132560_action_cut,ompd:hasPatient,proc:Task_132560_object_lead
proc:Task_132560_action_remove,ompd:hasPatient,proc:Task_132560_object_bridge
proc:Task_132560_action_remove,ompd:hasPatient,proc:Task_132560_object_alternator
proc:Task_132560_action_soldered,ompd:hasPatient,proc:Task_132560_object_lead
proc:Task_132560_action_reassembly,ompd:hasPatient,proc:Task_132560_object_lead
proc:Task_132560_action_keep,ompd:hasPatient,proc:Task_132560_object_cut
proc:Task_132562_action_raise,ompd:hasPatient,proc:Task_132562_object_top
proc:Task_132562_action_make_sure_the_cut_end_of_the_copper_lead_are_straight,ompd:hasPatient,proc:Task_132562_object_bridge_assembly
proc:Task_132563_action_remove,ompd:hasPatient,proc:Task_132563_object_lower_section
proc:Task_132516_action_unscrew,ompd:hasPatient,proc:Task_132516_object_7.5_mm_bolt
proc:Task_132630_action_hold,ompd:hasPatient,proc:Task_132630_object_pulley
proc:Task_132630_action_bend,ompd:hasPatient,proc:Task_132630_object_pulley
proc:Task_132631_action_remove,ompd:hasPatient,proc:Task_132631_object_25_mm_hex_nut
proc:Task_132632_action_remove,ompd:hasPatient,proc:Task_132632_object_pulley
proc:Task_132633_action_separate,ompd:hasPatient,proc:Task_132633_object_rotor
proc:Task_132633_action_separate,ompd:hasPatient,proc:Task_132633_object_stator
proc:Task_132634_action_pull,ompd:hasPatient,proc:Task_132634_object_stator
proc:Task_132634_action_examine,ompd:hasPatient,proc:Task_132634_object_stator
