iri,type,taskDescriptionName,mediaIri,mediaType,textValue,mediaLocation,denotes,descriptionType
proc:Task_14479_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14479,proc:Task_14479_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/DwZV1cfnI5KfIpZi.standard,proc:Task_14479,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14479_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_14479,proc:Task_14479_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/Fk5RvMnylOphMNYB.standard,proc:Task_14479,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14479_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14479,proc:Task_14479_text_0_description_media,ompd:Text,lift up the plastic cover .,,proc:Task_14479,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14481_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14481,proc:Task_14481_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/sDQSIHtHiTDO52OO.standard,proc:Task_14481,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14481_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_14481,proc:Task_14481_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/juAAjnn3rPk3hcYb.standard,proc:Task_14481,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14481_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14481,proc:Task_14481_text_0_description_media,ompd:Text,use an offset phillips screwdriver to remove a screw in the back of the automatic control unit cover .,,proc:Task_14481,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14481_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_14481,proc:Task_14481_text_1_description_media,ompd:Text,"in a pinch , you can make this tool with a phillips driver bit and end wrench .",,proc:Task_14481,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14482_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14482,proc:Task_14482_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/DBOBNPsC5ST1ciqZ.standard,proc:Task_14482,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14482_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14482,proc:Task_14482_text_0_description_media,ompd:Text,use a 2 phillips screwdriver to remove the front two screws .,,proc:Task_14482,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14483_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14483,proc:Task_14483_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/ZU43sUXowgRbRp2s.standard,proc:Task_14483,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14483_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_14483,proc:Task_14483_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/goXWBveX5yRNt2rt.standard,proc:Task_14483,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14483_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14483,proc:Task_14483_text_0_description_media,ompd:Text,gently unplug and lift out the automatic transmission control unit .,,proc:Task_14483,ompd:InstructionalMaintenanceTaskDescription
proc:Task_16999_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_16999,proc:Task_16999_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/3oJA3DKStqsT1ClB.standard,proc:Task_16999,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_16999_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_16999,proc:Task_16999_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/6osqgU42UTfhIowF.standard,proc:Task_16999,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_16999_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_16999,proc:Task_16999_text_0_description_media,ompd:Text,remove the plastic phillips screw towards the front of the door panel .,,proc:Task_16999,ompd:InstructionalMaintenanceTaskDescription
proc:Task_16999_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_16999,proc:Task_16999_text_1_description_media,ompd:Text,"this screw is part of a two-piece securing mechanism . do not apply force directly onto the screw head , because it will continue to slip into the plastic clip .",,proc:Task_16999,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_16999_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_16999,proc:Task_16999_text_2_description_media,ompd:Text,use a flathead screwdriver to remove the plastic clip that holds the screw .,,proc:Task_16999,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17000_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17000,proc:Task_17000_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/om3L2VRGZhGnsWUT.standard,proc:Task_17000,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17000_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17000,proc:Task_17000_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/F1gwCQb6RHGJ6HqU.standard,proc:Task_17000,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17000_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17000,proc:Task_17000_text_0_description_media,ompd:Text,unscrew the phillips screw in the bottom of the door panel cup .,,proc:Task_17000,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17000_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17000,proc:Task_17000_text_1_description_media,ompd:Text,lift the cup out of the the door panel .,,proc:Task_17000,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17001_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17001,proc:Task_17001_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/WcFgowZPdM3Ovx6T.standard,proc:Task_17001,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17001_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17001,proc:Task_17001_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/OWfYX6LNiwUCSj1Z.standard,proc:Task_17001,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17001_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17001,proc:Task_17001_text_0_description_media,ompd:Text,insert a very thin flathead screwdriver blade into the small gap towards the rear of the car on the plastic screw cover near the door handle .,,proc:Task_17001,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17001_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17001,proc:Task_17001_text_1_description_media,ompd:Text,unscrew the phillips screw underneath the screw cover .,,proc:Task_17001,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17002_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17002,proc:Task_17002_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/OYuqjtD3qvojyJc6.standard,proc:Task_17002,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17002_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17002,proc:Task_17002_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/xOo6lFuHVSgL3aWF.standard,proc:Task_17002,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17002_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17002,proc:Task_17002_text_0_description_media,ompd:Text,remove the plastic cover at the base of the c-pillar by pulling it directly away from the window .,,proc:Task_17002,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17002_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17002,proc:Task_17002_text_1_description_media,ompd:Text,"the cover is held in place by a metal clip , so some force will be required to free it .",,proc:Task_17002,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17002_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_17002,proc:Task_17002_text_2_description_media,ompd:Text,"in addition to the metal clip , two small tabs at the bottom of the cover keep it in place . gently lift the corner of the door panel to remove the tabs from their respective holes in the door .",,proc:Task_17002,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17003_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17003,proc:Task_17003_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/Do2uNCsIAK54FWaC.standard,proc:Task_17003,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17003_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17003,proc:Task_17003_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/QVO1HGSD1WWToH6h.standard,proc:Task_17003,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17003_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_17003,proc:Task_17003_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/WjEA4ScSjgIdl3bI.standard,proc:Task_17003,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17003_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17003,proc:Task_17003_text_0_description_media,ompd:Text,"using firm pressure , pull the door panel away from the door . start at the top right , and work down the side , across the bottom , and up the opposite side .",,proc:Task_17003,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17003_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17003,proc:Task_17003_text_1_description_media,ompd:Text,multiple clips hold the door panel in place . the door panel will jerk as each clip is freed from its position .,,proc:Task_17003,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17004_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17004,proc:Task_17004_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/TnE2wWxhXWUD2Ey2.standard,proc:Task_17004,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17004_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17004,proc:Task_17004_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/p4TLPvNUSPrSNgIV.standard,proc:Task_17004,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17004_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17004,proc:Task_17004_text_0_description_media,ompd:Text,"pull the bottom of the door panel away from the door , and lift the entire panel off the door .",,proc:Task_17004,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17004_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17004,proc:Task_17004_text_1_description_media,ompd:Text,"do not try to completely remove the door panel yet , as it is still attached by a number of electrical connectors .",,proc:Task_17004,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17005_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17005,proc:Task_17005_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/huxXxNqFuQAE4GTN.standard,proc:Task_17005,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17005_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17005,proc:Task_17005_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/4DZCLm1UqXbBoVKs.standard,proc:Task_17005,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17005_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_17005,proc:Task_17005_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/unUVKKxQKeLMG1qF.standard,proc:Task_17005,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17005_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17005,proc:Task_17005_text_0_description_media,ompd:Text,push down on the small tab and pull the connector directly away from its socket to disconnect the power lock switch .,,proc:Task_17005,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17005_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17005,proc:Task_17005_text_1_description_media,ompd:Text,use the same method described above to remove the connector for the tweeter .,,proc:Task_17005,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17005_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_17005,proc:Task_17005_text_2_description_media,ompd:Text,press the tab on the bottom of the larger green connector to disconnect the side-view mirror controls .,,proc:Task_17005,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17006_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17006,proc:Task_17006_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/OdmA1bbt62dZLVkb.standard,proc:Task_17006,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17006_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17006,proc:Task_17006_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/2FoleOfpOLIIyLKH.standard,proc:Task_17006,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_17006_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_17006,proc:Task_17006_text_0_description_media,ompd:Text,disconnect the power window connector .,,proc:Task_17006,ompd:InstructionalMaintenanceTaskDescription
proc:Task_17006_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_17006,proc:Task_17006_text_1_description_media,ompd:Text,you may now remove the entire door panel .,,proc:Task_17006,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23031_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23031,proc:Task_23031_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/E2ecqktIDmRxETvR.standard,proc:Task_23031,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23031_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23031,proc:Task_23031_text_0_description_media,ompd:Text,use compressed air to clear any debris from the area around the ignition coils on top of the engine .,,proc:Task_23031,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23031_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23031,proc:Task_23031_text_1_description_media,ompd:Text,any particles that fall into the ignition cylinder could cause serious engine damage .,,proc:Task_23031,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23032_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23032,proc:Task_23032_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/EfcWNKxUZ4NUJCf3.standard,proc:Task_23032,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23032_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23032,proc:Task_23032_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/FRjM5AwqK5YDSu6A.standard,proc:Task_23032,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23032_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23032,proc:Task_23032_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/MgAksgnfEia1b4oB.standard,proc:Task_23032,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23032_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23032,proc:Task_23032_text_0_description_media,ompd:Text,remove the ignition coil electrical connector by first depressing the plastic tab on top of the connector .,,proc:Task_23032,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23032_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23032,proc:Task_23032_text_1_description_media,ompd:Text,pull the connector straight away from the ignition coil to detach it .,,proc:Task_23032,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23032_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23032,proc:Task_23032_text_2_description_media,ompd:Text,repeat this procedure for the remaining three ignition coils .,,proc:Task_23032,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23033_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23033,proc:Task_23033_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/EhnSohy4cToFFc6s.standard,proc:Task_23033,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23033_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23033,proc:Task_23033_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/WicJTPGUOBlFvLAy.standard,proc:Task_23033,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23033_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23033,proc:Task_23033_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/2VKJNMeKWiKE1VMi.standard,proc:Task_23033,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23033_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23033,proc:Task_23033_text_0_description_media,ompd:Text,use an 8 mm deep socket to loosen the four ignition coil mounting bolts .,,proc:Task_23033,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23033_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23033,proc:Task_23033_text_1_description_media,ompd:Text,"once the bolts are loose , they can be removed by hand .",,proc:Task_23033,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23034_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23034,proc:Task_23034_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/yN2dhuHDsrdwJckm.standard,proc:Task_23034,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23034_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23034,proc:Task_23034_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/FkpU6SJublETNXM4.standard,proc:Task_23034,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23034_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23034,proc:Task_23034_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/woEyWtPy4T3mI3ix.standard,proc:Task_23034,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23034_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23034,proc:Task_23034_text_0_description_media,ompd:Text,twist the ignition coil and spark plug boot while lifting it straight up to remove it from the engine .,,proc:Task_23034,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23034_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23034,proc:Task_23034_text_1_description_media,ompd:Text,"avoid rocking the coil and boot side-to-side , since this could break the existing spark plug .",,proc:Task_23034,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23034_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23034,proc:Task_23034_text_2_description_media,ompd:Text,"the procedure to remove the ignition coil and spark plug boot is the same for each spark plug . however , to reduce the chance of dirt entering the engine , only remove one at a time .",,proc:Task_23034,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23035_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23035,proc:Task_23035_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/iQ1UcNSxKptmmmRM.standard,proc:Task_23035,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23035_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23035,proc:Task_23035_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/PsuMukTy3cUMp2tV.standard,proc:Task_23035,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23035_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23035,proc:Task_23035_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/wnSD4xZaPXIPJbB2.standard,proc:Task_23035,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23035_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23035,proc:Task_23035_text_0_description_media,ompd:Text,use a ratcheting socket wrench with an extender and a 5 /8 spark plug socket to remove the existing spark plug from the cylinder head . make sure that the spark plug is completely seated in the rubber end of the socket before loosening it .,,proc:Task_23035,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23035_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23035,proc:Task_23035_text_1_description_media,ompd:Text,"spark plug sockets have rubber in the end of them to grip the spark plug and are made long enough to keep from snapping the spark plug . there are other common methods for removing spark plugs that involve using a long piece of rubber tubing to pull them out , but using a spark plug socket is the correct procedure .",,proc:Task_23035,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23036_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23036,proc:Task_23036_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/ZQDG6RxUFhPSfBjj.standard,proc:Task_23036,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23036_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23036,proc:Task_23036_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/tLLKQbknrXYQOjPg.standard,proc:Task_23036,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23036_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23036,proc:Task_23036_text_0_description_media,ompd:Text,apply dielectric grease to the ribbed portion of the insulator .,,proc:Task_23036,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23036_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23036,proc:Task_23036_text_1_description_media,ompd:Text,gently place the spark plug boot over the ribs and twist the two pieces back and forth to even out the layer of dielectric grease .,,proc:Task_23036,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23037_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23037,proc:Task_23037_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/pF6CfYlX5mX1flcD.standard,proc:Task_23037,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23037_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23037,proc:Task_23037_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/MLPeEfWUIWBlxinI.standard,proc:Task_23037,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23037_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23037,proc:Task_23037_text_0_description_media,ompd:Text,place the new spark plug firmly in the spark plug socket so that the threaded end sticks out .,,proc:Task_23037,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23037_text_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23037,proc:Task_23037_text_1_description_media,ompd:Text,apply an even layer of anti-seize compound to the threads of the spark plug .,,proc:Task_23037,ompd:InstructionalMaintenanceTaskDescription
proc:Task_23037_text_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23037,proc:Task_23037_text_2_description_media,ompd:Text,be careful not to get any of the anti-seize compound on the spark plug's electrode .,,proc:Task_23037,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23038_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_23038,proc:Task_23038_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/jPaUKsfkreok6OHj.standard,proc:Task_23038,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23038_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_23038,proc:Task_23038_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/lgyKfcrOJH1OmnUl.standard,proc:Task_23038,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_23038_image_2_description,ompd:MaintenanceTaskDescription,task_description_Task_23038,proc:Task_23038_image_2_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/lTWJv5cMfjxT6PYN.standard,proc:Task_23038,ompd:AuxilliaryMaintenanceTaskDescription
