Preprocessed Text,Tagged Ngrams
twist the ignition coil and spark plug boot while lifting it straight up to remove it from the engine .,"twist/ACTIVITY, ignition coil/ITEM, spark plug boot/ITEM, lifting/ACTIVITY, remove/ACTIVITY, engine/ITEM, "
"avoid rocking the coil and boot side-to-side , since this could break the existing spark plug .","avoid rocking/ACTIVITY, coil/ITEM, boot/ITEM, side-to-side/OBSERVATION, break/ACTIVITY, existing spark plug/ITEM, "
use a ratcheting socket wrench with an extender and a 5  or 8 spark plug socket to remove the existing spark plug from the cylinder head . make sure that the spark plug is completely seated in the rubber end of the socket before loosening it .,"ratcheting socket wrench/TOOL, extender/TOOL, 5 or 8 spark plug socket/TOOL, remove/ACTIVITY, existing spark plug/ITEM, cylinder head/ITEM, seated/OBSERVATION, rubber end/ITEM, loosening/ACTIVITY, "
"spark plug socket have rubber in the end of them to grip the spark plug and are made long enough to keep from snapping the spark plug . there are other common method for removing spark plug that involve using a long piece of rubber tubing to pull them out , but using a spark plug socket is the correct procedure .","spark plug socket/TOOL, rubber/MATERIAL, grip/ACTIVITY, spark plug/ITEM, snapping/OBSERVATION, long enough/OBSERVATION, removing/ACTIVITY, long piece/ITEM, rubber tubing/MATERIAL, pull out/ACTIVITY, correct procedure/OBSERVATION, "
apply dielectric grease to the ribbed portion of the insulator .,"apply/ACTIVITY, dielectric grease/MATERIAL, ribbed portion/LOCATION, insulator/ITEM, "
gently place the spark plug boot over the rib and twist the two piece back and forth to even out the layer of dielectric grease .,"place/ACTIVITY, spark plug boot/ITEM, rib/LOCATION, twist/ACTIVITY, two piece/ITEM, even out/ACTIVITY, layer/OBSERVATION, dielectric grease/MATERIAL, "
place the new spark plug firmly in the spark plug socket so that the threaded end stick out .,"place/ACTIVITY, new spark plug/ITEM, spark plug socket/ITEM, firmly/OBSERVATION, threaded end/OBSERVATION, stick out/OBSERVATION, "
apply an even layer of anti-seize compound to the thread of the spark plug .,"apply/ACTIVITY, even layer/OBSERVATION, anti-seize compound/MATERIAL, thread/ITEM, spark plug/ITEM, "
place the new spark plug into the cylinder head and tighten it by hand a much a you can .,"new spark plug/ITEM, cylinder head/ITEM, tighten/ACTIVITY, hand/ACTIVITY, "
tighten the spark plug to 11 ft-lbs with a torque wrench .,"tighten/ACTIVITY, spark plug/ITEM, 11 ft-lbs/OBSERVATION, torque wrench/TOOL, "
place the ignition coil and dust boot back over the spark plug by pushing down and twisting it into place .,"place the ignition coil/ACTIVITY, dust boot/ITEM, spark plug/ITEM, pushing down/ACTIVITY, twisting/ACTIVITY, into place/LOCATION, "
reconnect the ignition coil electrical connector by snapping it back into place .,"reconnect/ACTIVITY, ignition coil/ITEM, electrical connector/ITEM, snapping/ACTIVITY, back into place/LOCATION, "
pull the hood release latch at the front right of the tractor and lift the hood up .,"pull the hood release latch/ACTIVITY, front right/LOCATION, tractor/ITEM, lift/ACTIVITY, hood/ITEM, "
lift the hood prop bar from it seat and place it in the hook on the underside of the hood .,"lift/ACTIVITY, hood prop bar/ITEM, place/ACTIVITY, hook/ITEM, underside of the hood/LOCATION, "
the right side engine panel is held in place by two rotating tab ( highlighted in red ) .,"right side engine panel/ITEM, held in place/OBSERVATION, two rotating tab/ITEM, highlighted in red/OBSERVATION, "
pull each tab straight away from the panel and twist them 90 so that they fit through the slot in the panel .,"pull/ACTIVITY, tab/ITEM, twist/ACTIVITY, fit/ACTIVITY, slot/LOCATION, panel/ITEM, "
pull the top of the engine panel straight out until it is free from the tab .,"pull/ACTIVITY, engine panel/ITEM, straight out/OBSERVATION, free from the tab/OBSERVATION, "
lift the engine panel up to remove it and set it aside .,"lift the engine panel/ACTIVITY, remove/ACTIVITY, set it aside/ACTIVITY, engine panel/ITEM, "
the drain plug is a 17 mm hex bolt located on the underside of the tractor .,"drain plug/ITEM, 17 mm hex bolt/ITEM, located/OBSERVATION, underside/LOCATION, tractor/ITEM, "
place an oil drain pan underneath the drain plug to catch the oil when it begin to drain .,"place/ACTIVITY, oil drain pan/ITEM, underneath the drain plug/LOCATION, catch/ACTIVITY, oil/MATERIAL, begin to drain/ACTIVITY, "
use a 17 mm box end wrench to loosen the drain plug 3  or 4 of a turn .,"17 mm box end wrench/TOOL, loosen/ACTIVITY, drain plug/ITEM, "
loosen the drain plug by hand until it come out and oil begin to drain from the oil pan .,"loosen the drain plug/ACTIVITY, hand/TOOL, come out/OBSERVATION, oil/MATERIAL, oil pan/ITEM, drain/ACTIVITY, "
watch the draining oil for shiny speck . small flake of metal could indicate a problem with your tractor 's engine internals .,"watch/ACTIVITY, draining oil/ITEM, shiny speck/OBSERVATION, small flake of metal/OBSERVATION, indicate/OBSERVATION, problem/OBSERVATION, tractors engine internals/ITEM, "
"while the oil is draining , wipe off the drain plug with a clean rag or towel .","oil/MATERIAL, draining/ACTIVITY, wipe off/ACTIVITY, drain plug/ITEM, clean rag/MATERIAL, towel/MATERIAL, "
"remove the old drain plug gasket and replace it , making sure that the new gasket fit over the thread of the drain plug .","remove/ACTIVITY, old drain plug gasket/ITEM, replace/ACTIVITY, new gasket/ITEM, fit over/ACTIVITY, thread/ITEM, drain plug/ITEM, "
wipe down the area around the drain plug with a clean rag or towel .,"wipe down/ACTIVITY, area/LOCATION, drain plug/ITEM, clean rag/MATERIAL, towel/MATERIAL, "
reinstall the drain plug and tighten it a much a you can by hand .,"reinstall the drain plug/ACTIVITY, tighten/ACTIVITY, hand/TOOL, "
use a 17 mm box end wrench to tighten the drain plug until it is snug .,"17 mm box end wrench/TOOL, tighten/ACTIVITY, drain plug/ITEM, snug/OBSERVATION, "
do not over-tighten the drain plug . doing so may strip the thread or crack the oil pan . you can always come back later and tighten the drain plug more if needed .,"over-tighten/ACTIVITY, drain plug/ITEM, strip the thread/OBSERVATION, crack the oil pan/OBSERVATION, tighten/ACTIVITY, "
move the oil drain pan so that it is directly under the oil filter .,"move/ACTIVITY, oil drain pan/ITEM, directly under/LOCATION, oil filter/ITEM, "
remove the oil filter by turning it counterclockwise until it come free .,"remove/ACTIVITY, oil filter/ITEM, turning counterclockwise/ACTIVITY, come free/OBSERVATION, "
"if the filter is on too tightly to remove by hand , use an oil filter wrench to loosen it first , then continue to remove it by hand .","filter/ITEM, remove/ACTIVITY, oil filter wrench/TOOL, loosen/ACTIVITY, continue/ACTIVITY, "
place the oil filter with the open end facing down onto the oil drain pan to allow the old oil to drain out .,"place the oil filter/ACTIVITY, open end/OBSERVATION, facing down/OBSERVATION, oil drain pan/ITEM, old oil/MATERIAL, drain out/ACTIVITY, "
"dip a clean , gloved finger into a fresh bottle of oil and spread a thin layer of oil on the new oil filter 's gasket .",
wipe off the oil filter thread and contact area on the engine with a clean rag or towel .,"wipe off/ACTIVITY, oil filter thread/ITEM, contact area/LOCATION, engine/ITEM, clean rag/MATERIAL, towel/MATERIAL, "
place the new oil filter over the thread and turn it clockwise until it is snug .,"place/ACTIVITY, new oil filter/ITEM, thread/ITEM, turn/ACTIVITY, clockwise/OBSERVATION, snug/OBSERVATION, "
twist the oil filler cap counterclockwise and remove it from the valve cover .,"twist/ACTIVITY, oil filler cap/ITEM, counterclockwise/OBSERVATION, remove/ACTIVITY, valve cover/ITEM, "
place a funnel in the oil filler hole .,"place/ACTIVITY, funnel/ITEM, oil filler hole/LOCATION, "
hold the funnel with one hand to steady it and pour 5.1 quart of 15 w-40 oil into the funnel .,"hold the funnel/ACTIVITY, steady/OBSERVATION, pour/ACTIVITY, 5.1 quart/MATERIAL, 15 w-40 oil/MATERIAL, funnel/ITEM, "
reinstall the oil filler cap and turn it clockwise until it is snug .,"reinstall the oil filler cap/ACTIVITY, turn/ACTIVITY, clockwise/OBSERVATION, snug/OBSERVATION, "
"remove the dipstick , wipe it off with a clean rag or towel , reinsert it , and remove it again .","remove the dipstick/ACTIVITY, wipe it off/ACTIVITY, clean rag/MATERIAL, towel/MATERIAL, reinsert it/ACTIVITY, remove it again/ACTIVITY, "
"reinsert the dipstick and add or remove any oil , if necessary .","reinsert the dipstick/ACTIVITY, add/ACTIVITY, remove/ACTIVITY, oil/MATERIAL, "
"place the engine panel back in it original location , making sure the two retaining tab go through their respective slot in the panel .","place/ACTIVITY, engine panel/ITEM, original location/LOCATION, retaining tab/ITEM, slot/LOCATION, "
"secure the engine panel by pulling the retaining tab straight out , turning them 90 , and laying them down flat .","secure the engine panel/ACTIVITY, pulling/ACTIVITY, retaining tab/ITEM, turning/ACTIVITY, laying down/ACTIVITY, "
hold the hood up with one hand and use the other hand to return the hood prop to it original location,"hold the hood up/ACTIVITY, use/ACTIVITY, return/ACTIVITY, hood prop/ITEM, original location/LOCATION, "
close the hood firmly and make sure that the hood latch engages .,"close the hood/ACTIVITY, firmly/OBSERVATION, hood latch/ITEM, engages/OBSERVATION, "
open the rear part of the middle console .,"open/ACTIVITY, rear part/LOCATION, middle console/ITEM, "
grip the right side of the console and pull up towards the passenger seat to remove it .,"grip/ACTIVITY, right side/LOCATION, console/ITEM, pull up/ACTIVITY, remove/ACTIVITY, passenger seat/LOCATION, "
locate the two bolt under the air conditioning control at the bottom of the face plate .,"locate/ACTIVITY, two bolt/ITEM, air conditioning control/ITEM, bottom/LOCATION, face plate/ITEM, "
loosen these two bolt with a basic socket wrench suited for 7 mm bolt .,"loosen/ACTIVITY, two bolt/ITEM, basic socket wrench/TOOL, 7 mm bolt/ITEM, "
wedge a spudger or plastic opening tool ( in place of the screwdriver shown ) under the top of the face plate .,"wedge/ACTIVITY, spudger/TOOL, plastic opening tool/TOOL, face plate/ITEM, "
apply pressure until the corner pop out of place .,"apply pressure/ACTIVITY, corner/ITEM, pop out of place/OBSERVATION, "
inspect the interior of the center console for damaged wire or other faulty component .,"inspect/ACTIVITY, interior/LOCATION, center console/ITEM, damaged wire/OBSERVATION, faulty component/OBSERVATION, "
"remove 4 , 7.9 mm nut using a 7.9 mm socket driver head",
one of the nut is placed underneath the l-bracket . remove the l-bracket and the 3 circled nut before attempting to remove the remaining nut,"remove/ACTIVITY, nut/ITEM, l-bracket/ITEM, circled nut/ITEM, attempting/ACTIVITY, "
pull cover off the body of the alternator,"pull cover/ACTIVITY, body/ITEM, alternator/ITEM, "
"with the alternator cover removed , use a 2 phillips screwdriver to remove the two , 6 mm screw that hold the brush cover in place .","alternator cover/ITEM, remove/ACTIVITY, 2 phillips screwdriver/TOOL, remove/ACTIVITY, 6 mm screw/ITEM, hold/ACTIVITY, brush cover/ITEM, place/LOCATION, "
remove the brush cover assembly from the alternator . you might need to insert a needle in the small hole to separate the brush from the rotor . pull it out without using much force to avoid damage .,"remove the brush cover assembly/ACTIVITY, alternator/ITEM, needle/TOOL, small hole/LOCATION, separate/ACTIVITY, brush/ITEM, rotor/ITEM, pull out/ACTIVITY, avoid damage/OBSERVATION, "
use a 2 phillips screwdriver to remove the two 6 mm screw holding down the voltage regulator,"2 phillips screwdriver/TOOL, remove/ACTIVITY, 6 mm screw/ITEM, holding down/OBSERVATION, voltage regulator/ITEM, "
there are three screw that attach the voltage regulator to the bridge assembly . one of these screw wa removed in the previous step .,"screw/ITEM, attach/ACTIVITY, voltage regulator/ITEM, bridge assembly/ITEM, removed/OBSERVATION, previous step/LOCATION, "
"locate and unscrew the 3 , 6 mm screw holding the bridge assembly in place",
"locate the copper lead connecting the stator to the bridge assembly . there are 3 set of 2 lead on the perimeter of the bridge , making 6 lead total .","locate/ACTIVITY, copper lead/ITEM, connecting/ACTIVITY, stator/ITEM, bridge assembly/ITEM, 3 set/OBSERVATION, 2 lead/OBSERVATION, perimeter/LOCATION, 6 lead/OBSERVATION, "
these lead must be cut in order to remove the bridge from the alternator . these lead will have to be soldered back together on reassembly . keep the cut a clean a possible .,"cut/ACTIVITY, lead/ITEM, remove/ACTIVITY, bridge/ITEM, alternator/ITEM, soldered/ACTIVITY, reassembly/ACTIVITY, clean/OBSERVATION, "
use wire cutter to cut all 6 of the lead on the perimeter of the bridge .,"wire cutter/TOOL, cut/ACTIVITY, lead/ITEM, perimeter of the bridge/LOCATION, "
"if necessary , use a pry bar to gently raise the top of the bridge assembly off the alternator","pry bar/TOOL, raise/ACTIVITY, top of the bridge assembly/ITEM, alternator/ITEM, "
be extremely careful with the pry bar . excessive force will damage the bridge assembly .,"be extremely careful/OBSERVATION, pry bar/TOOL, excessive force/OBSERVATION, damage/OBSERVATION, bridge assembly/ITEM, "
make sure the cut end of the copper lead are straight to make bridge assembly easier to pull off .,"cut end/ITEM, copper lead/ITEM, straight/OBSERVATION, make/ACTIVITY, bridge assembly/ITEM, pull off/ACTIVITY, "
remove the lower section of the bridge assembly,"remove/ACTIVITY, lower section/ITEM, bridge assembly/ITEM, "
use of a pry bar may be necessary . be gentle .,"pry bar/TOOL, necessary/OBSERVATION, gentle/OBSERVATION, "
"use a phillips 2 screwdriver or a 7.5 mm socket driver to unscrew the 4 , 7.5 mm bolt running along the outer perimeter of the alternator","phillips 2 screwdriver/TOOL, unscrew/ACTIVITY, 7.5 mm socket driver/TOOL, bolt/ITEM, running along the outer perimeter/LOCATION, "
use a c-clamp or another fixture to hold the pulley in place,"use/ACTIVITY, c-clamp/TOOL, fixture/TOOL, hold/ACTIVITY, pulley/ITEM, "
be gentle with the clamp . excessive force will bend the pulley out of shape,"be gentle/ACTIVITY, clamp/ITEM, excessive force/OBSERVATION, bend/ACTIVITY, pulley/ITEM, out of shape/OBSERVATION, "
use a ratchet with a 25 mm socket to remove the 25 mm hex nut from the pulley,"ratchet/TOOL, 25 mm socket/TOOL, remove/ACTIVITY, 25 mm hex nut/ITEM, pulley/ITEM, "
"may need to use a power ratchet , depending on how tight the fit is on the nut","power ratchet/TOOL, tight fit/OBSERVATION, nut/ITEM, "
"once the nut is off , you can then remove the pulley .","nut/ITEM, remove/ACTIVITY, pulley/ITEM, "
"once the pulley is removed , separate the rotor and stator . the stator is the piece with copper winding .","remove/ACTIVITY, pulley/ITEM, separate/ACTIVITY, rotor/ITEM, stator/ITEM, copper winding/MATERIAL, "
"if the stator is scratched or damaged , you will need to replace it . look for scoring mark or cut piece of winding .","stator/ITEM, scratched/OBSERVATION, damaged/OBSERVATION, replace/ACTIVITY, scoring mark/OBSERVATION, cut piece/OBSERVATION, winding/ITEM, "
