preprocessed_text,tagged_text
"remove the old drain plug gasket and replace it , making sure that the new gasket fit over the thread of the drain plug .","remove/ACTIVITY, old drain plug gasket/ITEM, replace/ACTIVITY, new gasket/ITEM, fit over the thread/OBSERVATION, drain plug/ITEM, "
wipe down the area around the drain plug with a clean rag or towel .,"wipe down/ACTIVITY, area around the drain plug/LOCATION, clean rag/MATERIAL, towel/MATERIAL, "
reinstall the drain plug and tighten it a much a you can by hand .,"reinstall/ACTIVITY, drain plug/ITEM, tighten/ACTIVITY, by hand/NOISE, "
use a 17 mm box end wrench to tighten the drain plug until it is snug .,"17 mm box end wrench/TOOL, tighten/ACTIVITY, drain plug/ITEM, snug/OBSERVATION, "
do not over-tighten the drain plug . doing so may strip the thread or crack the oil pan . you can always come back later and tighten the drain plug more if needed .,"over-tighten/ACTIVITY, drain plug/ITEM, strip/OBSERVATION, thread/ITEM, crack/OBSERVATION, oil pan/ITEM, come back later/NOISE, tighten/ACTIVITY, "
move the oil drain pan so that it is directly under the oil filter .,"move/ACTIVITY, oil drain pan/ITEM, directly under the oil filter/LOCATION, "
remove the oil filter by turning it counterclockwise until it come free .,"remove/ACTIVITY, oil filter/ITEM, turning/ACTIVITY, counterclockwise/OBSERVATION, come free/OBSERVATION, "
"if the filter is on too tightly to remove by hand , use an oil filter wrench to loosen it first , then continue to remove it by hand .","filter/ITEM, remove/ACTIVITY, by hand/NOISE, oil filter wrench/TOOL, loosen/ACTIVITY, continue/ACTIVITY, "
place the oil filter with the open end facing down onto the oil drain pan to allow the old oil to drain out .,"place/ACTIVITY, oil filter/ITEM, open end/OBSERVATION, facing down/OBSERVATION, oil drain pan/ITEM, allow/ACTIVITY, old oil/MATERIAL, drain out/ACTIVITY, "
"dip a clean , gloved finger into a fresh bottle of oil and spread a thin layer of oil on the new oil filter 's gasket .","dip/ACTIVITY, clean/OBSERVATION, gloved finger/ITEM, fresh bottle of oil/MATERIAL, spread/ACTIVITY, thin layer/OBSERVATION, oil filter/ITEM, gasket/ITEM, "
wipe off the oil filter thread and contact area on the engine with a clean rag or towel .,"wipe off/ACTIVITY, oil filter thread/ITEM, contact area/LOCATION, engine/ITEM, clean rag/MATERIAL, towel/MATERIAL, "
place the new oil filter over the thread and turn it clockwise until it is snug .,"place/ACTIVITY, new oil filter/ITEM, over the thread/LOCATION, turn/ACTIVITY, clockwise/OBSERVATION, snug/OBSERVATION, "
twist the oil filler cap counterclockwise and remove it from the valve cover .,"twist/ACTIVITY, oil filler cap/ITEM, counterclockwise/OBSERVATION, remove/ACTIVITY, valve cover/ITEM, "
place a funnel in the oil filler hole .,"place/ACTIVITY, funnel/TOOL, oil filler hole/LOCATION, "
hold the funnel with one hand to steady it and pour 5.1 quart of 15 w-40 oil into the funnel .,"hold/ACTIVITY, funnel/ITEM, one hand/LOCATION, steady/OBSERVATION, pour/ACTIVITY, 5.1 quart/CARDINALITY, 15 w-40 oil/MATERIAL, "
reinstall the oil filler cap and turn it clockwise until it is snug .,"reinstall/ACTIVITY, oil filler cap/ITEM, turn/ACTIVITY, clockwise/OBSERVATION, snug/OBSERVATION, "
"remove the dipstick , wipe it off with a clean rag or towel , reinsert it , and remove it again .","remove/ACTIVITY, dipstick/ITEM, wipe/ACTIVITY, clean rag/MATERIAL, towel/MATERIAL, reinsert/ACTIVITY, remove/ACTIVITY, "
"reinsert the dipstick and add or remove any oil , if necessary .","reinsert the dipstick/ACTIVITY, add or remove/ACTIVITY, oil/MATERIAL, if necessary/NOISE, "
"place the engine panel back in it original location , making sure the two retaining tab go through their respective slot in the panel .","place/ACTIVITY, engine panel/ITEM, back in it original location/LOCATION, making sure/NOISE, two/CARDINALITY, retaining tab/ITEM, go through/ACTIVITY, their respective slot/LOCATION, panel/ITEM, "
"secure the engine panel by pulling the retaining tab straight out , turning them 90 , and laying them down flat .","secure/ACTIVITY, engine panel/ITEM, pulling/ACTIVITY, retaining tab/ITEM, straight out/OBSERVATION, turning/ACTIVITY, 90/OBSERVATION, laying down flat/OBSERVATION, "
hold the hood up with one hand and use the other hand to return the hood prop to it original location,"hold/ACTIVITY, hood/ITEM, hand/ITEM, use/ACTIVITY, return/ACTIVITY, hood prop/ITEM, original location/LOCATION, "
close the hood firmly and make sure that the hood latch engages .,"close/ACTIVITY, hood/ITEM, firmly/NOISE, make sure/NOISE, hood latch/ITEM, engages/OBSERVATION, "
open the rear part of the middle console .,"open/ACTIVITY, rear part/LOCATION, middle console/ITEM, "
grip the right side of the console and pull up towards the passenger seat to remove it .,"grip/ACTIVITY, right side of the console/LOCATION, pull/ACTIVITY, passenger seat/LOCATION, remove/ACTIVITY, "
locate the two bolt under the air conditioning control at the bottom of the face plate .,"locate/ACTIVITY, two/CARDINALITY, bolt/ITEM, air conditioning control/ITEM, bottom of the face plate/LOCATION, "
loosen these two bolt with a basic socket wrench suited for 7 mm bolt .,"loosen/ACTIVITY, two/CARDINALITY, bolt/ITEM, basic socket wrench/TOOL, 7 mm/ITEM, "
wedge a spudger or plastic opening tool ( in place of the screwdriver shown ) under the top of the face plate .,"wedge/ACTIVITY, spudger/TOOL, plastic opening tool/TOOL, top of the face plate/LOCATION, "
apply pressure until the corner pop out of place .,"apply pressure/ACTIVITY, corner/ITEM, pop out of place/OBSERVATION, "
inspect the interior of the center console for damaged wire or other faulty component .,"inspect/ACTIVITY, interior/LOCATION, center console/ITEM, damaged wire/ITEM, faulty component/ITEM, "
"remove 4 , 7.9 mm nut using a 7.9 mm socket driver head","remove/ACTIVITY, four/CARDINALITY, 7.9 mm nut/ITEM, 7.9 mm socket driver head/TOOL, "
one of the nut is placed underneath the l-bracket . remove the l-bracket and the 3 circled nut before attempting to remove the remaining nut,"nut/ITEM, placed underneath/OBSERVATION, l-bracket/ITEM, remove/ACTIVITY, circled nut/ITEM, attempting to remove/ACTIVITY, remaining nut/ITEM, "
pull cover off the body of the alternator,"pull/ACTIVITY, cover/ITEM, body of the alternator/LOCATION, "
"with the alternator cover removed , use a 2 phillips screwdriver to remove the two , 6 mm screw that hold the brush cover in place .","alternator cover/ITEM, remove/ACTIVITY, 2 phillips screwdriver/TOOL, remove/ACTIVITY, two/CARDINALITY, 6 mm screw/ITEM, hold/OBSERVATION, brush cover/ITEM, in place/OBSERVATION, "
remove the brush cover assembly from the alternator . you might need to insert a needle in the small hole to separate the brush from the rotor . pull it out without using much force to avoid damage .,"remove/ACTIVITY, brush cover assembly/ITEM, alternator/ITEM, insert/ACTIVITY, needle/TOOL, small hole/LOCATION, separate/ACTIVITY, brush/ITEM, rotor/ITEM, pull/ACTIVITY, avoid damage/OBSERVATION, "
avoid disconnecting wire unless otherwise specified !,"avoid disconnecting wire/ACTIVITY, "
use a 2 phillips screwdriver to remove the two 6 mm screw holding down the voltage regulator,"2 phillips screwdriver/TOOL, remove/ACTIVITY, two/CARDINALITY, 6 mm screw/ITEM, holding down the voltage regulator/LOCATION, "
"locate and unscrew the 3 , 6 mm screw holding the bridge assembly in place",
"locate the copper lead connecting the stator to the bridge assembly . there are 3 set of 2 lead on the perimeter of the bridge , making 6 lead total .","locate/ACTIVITY, copper lead/ITEM, connecting/ACTIVITY, stator/ITEM, bridge assembly/ITEM, 3 set of 2 lead/CARDINALITY, perimeter of the bridge/LOCATION, 6 lead total/CARDINALITY, "
these lead must be cut in order to remove the bridge from the alternator . these lead will have to be soldered back together on reassembly . keep the cut a clean a possible .,"cut/ACTIVITY, lead/ITEM, remove/ACTIVITY, bridge/ITEM, alternator/ITEM, soldered back together/ACTIVITY, reassembly/ACTIVITY, keep/ACTIVITY, clean/OBSERVATION, as possible/NOISE, "
use wire cutter to cut all 6 of the lead on the perimeter of the bridge .,"wire cutter/TOOL, cut/ACTIVITY, all/CARDINALITY, 6/CARDINALITY, lead/ITEM, perimeter of the bridge/LOCATION, "
"if necessary , use a pry bar to gently raise the top of the bridge assembly off the alternator","use/ACTIVITY, pry bar/TOOL, raise/ACTIVITY, top of the bridge assembly/ITEM, alternator/ITEM, "
be extremely careful with the pry bar . excessive force will damage the bridge assembly .,"be extremely careful/NOISE, pry bar/TOOL, excessive force/OBSERVATION, damage/OBSERVATION, bridge assembly/ITEM, "
make sure the cut end of the copper lead are straight to make bridge assembly easier to pull off .,"cut end/ITEM, copper lead/ITEM, straight/OBSERVATION, make/ACTIVITY, bridge assembly/ITEM, pull off/ACTIVITY, "
remove the lower section of the bridge assembly,"remove/ACTIVITY, lower section/ITEM, bridge assembly/ITEM, "
use of a pry bar may be necessary . be gentle .,"pry bar/TOOL, necessary/OBSERVATION, be gentle/NOISE, "
"use a phillips 2 screwdriver or a 7.5 mm socket driver to unscrew the 4 , 7.5 mm bolt running along the outer perimeter of the alternator","phillips 2 screwdriver/TOOL, unscrew/ACTIVITY, 7.5 mm socket driver/TOOL, 4/CARDINALITY, 7.5 mm bolt/ITEM, running along the outer perimeter of the alternator/LOCATION, "
use a c-clamp or another fixture to hold the pulley in place,"use/ACTIVITY, c-clamp/TOOL, fixture/ITEM, hold/ACTIVITY, pulley/ITEM, in place/LOCATION, "
be gentle with the clamp . excessive force will bend the pulley out of shape,"be gentle/NOISE, clamp/ITEM, excessive force/OBSERVATION, bend/ACTIVITY, pulley/ITEM, out of shape/OBSERVATION, "
use a ratchet with a 25 mm socket to remove the 25 mm hex nut from the pulley,"ratchet/TOOL, 25 mm socket/TOOL, remove/ACTIVITY, 25 mm hex nut/ITEM, pulley/ITEM, "
"once the nut is off , you can then remove the pulley .","nut/ITEM, remove/ACTIVITY, pulley/ITEM, "
"once the pulley is removed , separate the rotor and stator . the stator is the piece with copper winding .","remove/ACTIVITY, pulley/ITEM, separate/ACTIVITY, rotor/ITEM, stator/ITEM, copper winding/OBSERVATION, "
you can pull the stator out of the remaining cover and examine it .,"pull/ACTIVITY, stator/ITEM, out of the remaining cover/LOCATION, examine/ACTIVITY, "
"if the stator is scratched or damaged , you will need to replace it . look for scoring mark or cut piece of winding .","stator/ITEM, scratched/OBSERVATION, damaged/OBSERVATION, replace/ACTIVITY, look for/ACTIVITY, scoring mark/OBSERVATION, cut piece of winding/OBSERVATION, "
