preprocessed_text,tagged_relations
apply an even layer of anti-seize compound to the thread of the spark plug .,"apply/HAS_PATIENT/thread, apply/HAS_PARTICIPANT/spark plug, "
place the new spark plug into the cylinder head and tighten it by hand a much a you can .,"place/HAS_PATIENT/spark plug, tighten/HAS_AGENT/by hand, tighten/HAS_PATIENT/spark plug, "
tighten the spark plug to 11 ft-lbs with a torque wrench .,"tighten/HAS_PATIENT/spark plug, tighten/HAS_AGENT/torque wrench, "
place the ignition coil and dust boot back over the spark plug by pushing down and twisting it into place .,"place/HAS_PATIENT/ignition coil, place/HAS_PARTICIPANT/dust boot, pushing down/HAS_PARTICIPANT/ignition coil, twisting/HAS_PARTICIPANT/ignition coil, "
reconnect the ignition coil electrical connector by snapping it back into place .,"reconnect/HAS_PATIENT/ignition coil, reconnect/HAS_PATIENT/electrical connector, snapping it back into place/HAS_AGENT/electrical connector, "
pull the hood release latch at the front right of the tractor and lift the hood up .,"pull/HAS_PATIENT/hood release latch, lift/HAS_PATIENT/hood, lift/HAS_AGENT/tractor, "
lift the hood prop bar from it seat and place it in the hook on the underside of the hood .,"lift/HAS_PATIENT/hood prop bar, place/HAS_PATIENT/hood prop bar, place/HAS_PARTICIPANT/hook, "
pull each tab straight away from the panel and twist them 90 so that they fit through the slot in the panel .,"pull/HAS_PATIENT/each tab, twist/HAS_PATIENT/each tab, "
pull the top of the engine panel straight out until it is free from the tab .,"pull/HAS_PATIENT/engine panel, "
lift the engine panel up to remove it and set it aside .,"lift/HAS_PATIENT/engine panel, remove/HAS_PATIENT/engine panel, "
the drain plug is a 17 mm hex bolt located on the underside of the tractor .,"drain plug/HAS_PATIENT/17 mm hex bolt, "
place an oil drain pan underneath the drain plug to catch the oil when it begin to drain .,"place/HAS_PATIENT/oil drain pan, begin to drain/HAS_PARTICIPANT/oil drain pan, "
use a 17 mm box end wrench to loosen the drain plug 3  or 4 of a turn .,"loosen/HAS_AGENT/17 mm box end wrench, loosen/HAS_PATIENT/drain plug, "
loosen the drain plug by hand until it come out and oil begin to drain from the oil pan .,"loosen/HAS_AGENT/by hand, loosen/HAS_PATIENT/drain plug, come out/HAS_PATIENT/drain plug, begin/HAS_PARTICIPANT/oil pan, drain/HAS_PARTICIPANT/oil pan, "
"while the oil is draining , wipe off the drain plug with a clean rag or towel .","draining/HAS_PATIENT/oil, wipe off/HAS_PATIENT/drain plug, "
"remove the old drain plug gasket and replace it , making sure that the new gasket fit over the thread of the drain plug .","remove/HAS_PATIENT/drain plug gasket, replace/HAS_PATIENT/gasket, fit over the thread of the drain plug/HAS_PARTICIPANT/gasket, "
wipe down the area around the drain plug with a clean rag or towel .,
reinstall the drain plug and tighten it a much a you can by hand .,"reinstall/HAS_PATIENT/drain plug, tighten/HAS_PATIENT/drain plug, "
use a 17 mm box end wrench to tighten the drain plug until it is snug .,"tighten/HAS_AGENT/17 mm box end wrench, tighten/HAS_PATIENT/drain plug, "
do not over-tighten the drain plug . doing so may strip the thread or crack the oil pan . you can always come back later and tighten the drain plug more if needed .,"tighten/HAS_PATIENT/drain plug, tighten/HAS_PARTICIPANT/drain plug, tighten/HAS_AGENT/come back later, tighten/HAS_AGENT/come back later, tighten/HAS_PATIENT/drain plug, "
move the oil drain pan so that it is directly under the oil filter .,"move/HAS_PATIENT/oil drain pan, "
remove the oil filter by turning it counterclockwise until it come free .,"remove/HAS_PATIENT/oil filter, remove/HAS_AGENT/turning it counterclockwise, "
"if the filter is on too tightly to remove by hand , use an oil filter wrench to loosen it first , then continue to remove it by hand .","remove/HAS_PATIENT/filter, loosen/HAS_AGENT/oil filter wrench, loosen/HAS_PATIENT/filter, continue to remove/HAS_PATIENT/filter, "
place the oil filter with the open end facing down onto the oil drain pan to allow the old oil to drain out .,"place/HAS_PATIENT/oil filter, place/HAS_AGENT/oil drain pan, allow/HAS_AGENT/oil filter, allow/HAS_PATIENT/drain out, "
"dip a clean , gloved finger into a fresh bottle of oil and spread a thin layer of oil on the new oil filter 's gasket .","dip/HAS_AGENT/finger, spread/HAS_PATIENT/layer, "
wipe off the oil filter thread and contact area on the engine with a clean rag or towel .,"wipe off/HAS_PARTICIPANT/engine, "
place the new oil filter over the thread and turn it clockwise until it is snug .,
twist the oil filler cap counterclockwise and remove it from the valve cover .,"twist/HAS_PATIENT/oil filler, remove/HAS_PATIENT/cap, remove/HAS_PATIENT/valve cover, "
place a funnel in the oil filler hole .,"place/HAS_PATIENT/funnel, "
hold the funnel with one hand to steady it and pour 5.1 quart of 15 w-40 oil into the funnel .,"hold/HAS_PATIENT/funnel, pour/HAS_PARTICIPANT/funnel, "
reinstall the oil filler cap and turn it clockwise until it is snug .,"reinstall/HAS_PATIENT/oil filler, reinstall/HAS_PATIENT/cap, turn/HAS_PATIENT/cap, "
"remove the dipstick , wipe it off with a clean rag or towel , reinsert it , and remove it again .","remove/HAS_PATIENT/dipstick, wipe/HAS_PATIENT/dipstick, reinsert/HAS_PATIENT/dipstick, remove/HAS_PATIENT/dipstick, "
"reinsert the dipstick and add or remove any oil , if necessary .",
"place the engine panel back in it original location , making sure the two retaining tab go through their respective slot in the panel .","place/HAS_PATIENT/engine panel, place/HAS_PARTICIPANT/retaining tab, "
"secure the engine panel by pulling the retaining tab straight out , turning them 90 , and laying them down flat .","secure/HAS_PATIENT/engine panel, pulling/HAS_PATIENT/retaining tab, turning/HAS_PARTICIPANT/retaining tab, "
hold the hood up with one hand and use the other hand to return the hood prop to it original location,"hold/HAS_PATIENT/hood, use/HAS_PATIENT/hood prop, return/HAS_PATIENT/hood prop, "
close the hood firmly and make sure that the hood latch engages .,"close/HAS_PATIENT/hood, make sure/HAS_PATIENT/hood latch, make sure/HAS_PARTICIPANT/hood latch, engages/HAS_PATIENT/hood latch, "
open the rear part of the middle console .,"open/HAS_PATIENT/rear part, open/HAS_PARTICIPANT/middle console, "
grip the right side of the console and pull up towards the passenger seat to remove it .,"pull/HAS_PATIENT/console, remove/HAS_PATIENT/console, "
locate the two bolt under the air conditioning control at the bottom of the face plate .,"locate/HAS_PATIENT/bolt, "
loosen these two bolt with a basic socket wrench suited for 7 mm bolt .,"loosen/HAS_AGENT/basic socket wrench, loosen/HAS_PATIENT/bolt, "
wedge a spudger or plastic opening tool ( in place of the screwdriver shown ) under the top of the face plate .,"wedge/HAS_AGENT/spudger, wedge/HAS_AGENT/plastic opening tool, wedge/HAS_PATIENT/face plate, "
apply pressure until the corner pop out of place .,"apply pressure/HAS_PATIENT/corner, "
inspect the interior of the center console for damaged wire or other faulty component .,"inspect/HAS_PATIENT/center console, inspect/HAS_PARTICIPANT/damaged wire, inspect/HAS_PARTICIPANT/other faulty component, "
"remove 4 , 7.9 mm nut using a 7.9 mm socket driver head","remove/HAS_PATIENT/4 7.9 mm nut, remove/HAS_AGENT/7.9 mm socket driver head, "
one of the nut is placed underneath the l-bracket . remove the l-bracket and the 3 circled nut before attempting to remove the remaining nut,"remove/HAS_PATIENT/l-bracket, remove/HAS_PATIENT/3 circled nut, remove/HAS_PARTICIPANT/nut, "
pull cover off the body of the alternator,"pull/HAS_PATIENT/cover, pull/HAS_PARTICIPANT/body, pull/HAS_PARTICIPANT/alternator, "
"with the alternator cover removed , use a 2 phillips screwdriver to remove the two , 6 mm screw that hold the brush cover in place .","remove/HAS_AGENT/2 phillips screwdriver, remove/HAS_PATIENT/6 mm screw, hold/HAS_PATIENT/brush cover, "
remove the brush cover assembly from the alternator . you might need to insert a needle in the small hole to separate the brush from the rotor . pull it out without using much force to avoid damage .,"remove/HAS_PATIENT/brush cover assembly, remove/HAS_PATIENT/alternator, insert/HAS_AGENT/needle, separate/HAS_PATIENT/brush, separate/HAS_PATIENT/rotor, pull/HAS_PATIENT/brush cover assembly, "
avoid disconnecting wire unless otherwise specified !,
use a 2 phillips screwdriver to remove the two 6 mm screw holding down the voltage regulator,"remove/HAS_AGENT/2 phillips screwdriver, remove/HAS_PATIENT/6 mm screw, "
"locate and unscrew the 3 , 6 mm screw holding the bridge assembly in place","locate/HAS_PATIENT/3 6 mm screw, unscrew/HAS_PATIENT/3 6 mm screw, "
"locate the copper lead connecting the stator to the bridge assembly . there are 3 set of 2 lead on the perimeter of the bridge , making 6 lead total .","locate/HAS_PATIENT/copper lead, connecting/HAS_PATIENT/copper lead, connecting/HAS_PATIENT/stator, connecting/HAS_PATIENT/bridge assembly, "
these lead must be cut in order to remove the bridge from the alternator . these lead will have to be soldered back together on reassembly . keep the cut a clean a possible .,"cut/HAS_PATIENT/lead, remove/HAS_PATIENT/bridge, remove/HAS_PATIENT/alternator, soldered back together/HAS_PATIENT/lead, reassembly/HAS_PARTICIPANT/lead, "
use wire cutter to cut all 6 of the lead on the perimeter of the bridge .,"cut/HAS_PATIENT/lead, cut/HAS_PARTICIPANT/bridge, "
"if necessary , use a pry bar to gently raise the top of the bridge assembly off the alternator","raise/HAS_AGENT/pry bar, raise/HAS_PATIENT/bridge assembly, "
be extremely careful with the pry bar . excessive force will damage the bridge assembly .,
make sure the cut end of the copper lead are straight to make bridge assembly easier to pull off .,"make/HAS_PATIENT/cut end, make/HAS_AGENT/copper lead, make/HAS_PARTICIPANT/bridge assembly, "
remove the lower section of the bridge assembly,"remove/HAS_PATIENT/lower section, remove/HAS_PARTICIPANT/bridge assembly, "
use of a pry bar may be necessary . be gentle .,
"use a phillips 2 screwdriver or a 7.5 mm socket driver to unscrew the 4 , 7.5 mm bolt running along the outer perimeter of the alternator","unscrew/HAS_AGENT/phillips 2 screwdriver, unscrew/HAS_AGENT/7.5 mm socket driver, unscrew/HAS_PATIENT/7.5 mm bolt, "
use a c-clamp or another fixture to hold the pulley in place,"hold/HAS_AGENT/c-clamp, hold/HAS_AGENT/another fixture, hold/HAS_PATIENT/pulley, "
be gentle with the clamp . excessive force will bend the pulley out of shape,
use a ratchet with a 25 mm socket to remove the 25 mm hex nut from the pulley,"remove/HAS_AGENT/ratchet, remove/HAS_AGENT/25 mm socket, remove/HAS_PATIENT/25 mm hex nut, "
"once the nut is off , you can then remove the pulley .","off/HAS_PATIENT/nut, remove/HAS_PATIENT/pulley, "
"once the pulley is removed , separate the rotor and stator . the stator is the piece with copper winding .","remove/HAS_PATIENT/pulley, separate/HAS_PATIENT/rotor, separate/HAS_PATIENT/stator, separate/HAS_PARTICIPANT/copper winding, "
you can pull the stator out of the remaining cover and examine it .,"pull/HAS_PATIENT/stator, examine/HAS_PATIENT/stator, "
"if the stator is scratched or damaged , you will need to replace it . look for scoring mark or cut piece of winding .","replace/HAS_PATIENT/stator, look for scoring mark or cut piece of winding/HAS_PATIENT/stator, "
