task_id,procedure_id,raw_text,parent_process_id,after_task_id
Task_23035,Proc_5124,"Use a ratcheting socket wrench with an extender and a 5/8"" spark plug socket to remove the existing spark plug from the cylinder head. Make sure that the spark plug is completely seated in the rubber end of the socket before loosening it. Spark plug sockets have rubber in the end of them to grip the spark plug and are made long enough to keep from snapping the spark plug. There are other common methods for removing spark plugs that involve using a long piece of rubber tubing to pull them out, but using a spark plug socket is the correct procedure.",Proc_5124,Task_23034
Task_23036,Proc_5124,Apply dielectric grease to the ribbed portion of the insulator. Gently place the spark plug boot over the ribs and twist the two pieces back and forth to even out the layer of dielectric grease.,Proc_5124,Task_23035
Task_23037,Proc_5124,Place the new spark plug firmly in the spark plug socket so that the threaded end sticks out. Apply an even layer of anti-seize compound to the threads of the spark plug. Be careful not to get any of the anti-seize compound on the spark plug's electrode.,Proc_5124,Task_23036
Task_23038,Proc_5124,Place the new spark plug into the cylinder head and tighten it by hand as much as you can. Tighten the spark plugs to 11 ft-lbs with a torque wrench.,Proc_5124,Task_23037
Task_23039,Proc_5124,"Place the ignition coil and dust boot back over the spark plug by pushing down and twisting it into place. Reconnect the ignition coil electrical connector by snapping it back into place. After installing your new spark plugs, compare the old ones to a [http://www.bikebandit.com/assets/digital_assets/How-to-Read-a-Spark-Plug.gif|spark plug wear chart] to determine if there are any issues with the way your engine is running. A similar chart can be found in the back of all Haynes repair manuals.",Proc_5124,Task_23038
Task_27942,Proc_6471,Let the engine run for a few minutes to warm up the oil before beginning. Pull the hood release latch at the front right of the tractor and lift the hood up.,Proc_6471,
Task_27943,Proc_6471,Lift the hood prop bar from its seat and place it in the hooks on the underside of the hood.,Proc_6471,Task_27942
Task_27944,Proc_6471,The right side engine panel is held in place by two rotating tabs (highlighted in red). Pull each tab straight away from the panel and twist them 90° so that they fit through the slots in the panel. Pull the top of the engine panel straight out until it is free from the tabs. Lift the engine panel up to remove it and set it aside.,Proc_6471,Task_27943
Task_27945,Proc_6471,The drain plug is a 17 mm hex bolt located on the underside of the tractor. Place an oil drain pan underneath the drain plug to catch the oil when it begins to drain. Use a 17 mm box end wrench to loosen the drain plug 3/4 of a turn.,Proc_6471,Task_27944
Task_27946,Proc_6471,"Loosen the drain plug by hand until it comes out and oil begins to drain from the oil pan. You may consider using a bucket first to catch the oil, as it may not drain into the oil drain pan quickly, potentially leading to a spill. Watch the draining oil for shiny specks. Small flakes of metal could indicate a problem with your tractor's engine internals.",Proc_6471,Task_27945
Task_27947,Proc_6471,"While the oil is draining, wipe off the drain plug with a clean rag or towel. Remove the old drain plug gasket and replace it, making sure that the new gasket fits over the threads of the drain plug.",Proc_6471,Task_27946
Task_27948,Proc_6471,Wipe down the area around the drain plug with a clean rag or towel. Reinstall the drain plug and tighten it as much as you can by hand. Use a 17 mm box end wrench to tighten the drain plug until it is snug. Do not over-tighten the drain plug. Doing so may strip the threads or crack the oil pan. You can always come back later and tighten the drain plug more if needed.,Proc_6471,Task_27947
Task_27949,Proc_6471,"Move the oil drain pan so that it is directly under the oil filter. Remove the oil filter by turning it counterclockwise until it comes free. If the filter is on too tightly to remove by hand, use an oil filter wrench to loosen it first, then continue to remove it by hand. Place the oil filter with the open end facing down onto the oil drain pan to allow the old oil to drain out.",Proc_6471,Task_27948
Task_27950,Proc_6471,"Dip a clean, gloved finger into a fresh bottle of oil and spread a thin layer of oil on the new oil filter's gasket. This layer of oil will help provide a good seal and make removing the filter at the next oil change easier. Wipe off the oil filter threads and contact area on the engine with a clean rag or towel. Place the new oil filter over the threads and turn it clockwise until it is snug.",Proc_6471,Task_27949
Task_27951,Proc_6471,The oil filler cap is located on top of the engine at the front of the valve cover (highlighted in red). Twist the oil filler cap counterclockwise and remove it from the valve cover.,Proc_6471,Task_27950
Task_27952,Proc_6471,Place a funnel in the oil filler hole. Hold the funnel with one hand to steady it and pour 5.1 quarts of 15W-40 oil into the funnel. Reinstall the oil filler cap and turn it clockwise until it is snug.,Proc_6471,Task_27951
Task_27953,Proc_6471,"The engine oil dipstick is located on the right side of the engine and has a yellow handle. Remove the dipstick, wipe it off with a clean rag or towel, reinsert it, and remove it again. Read the initial oil level. It should be somewhere in the crosshatched region. It is acceptable for the level to be slightly high, since it hasn't filled the oil filter and other nooks and crannies of the engine yet. Reinsert the dipstick and add or remove any oil, if necessary.",Proc_6471,Task_27952
Task_27954,Proc_6471,"Place the engine panel back in its original location, making sure the two retaining tabs go through their respective slots in the panel. Secure the engine panel by pulling the retaining tabs straight out, turning them 90°, and laying them down flat.",Proc_6471,Task_27953
Task_27955,Proc_6471,Hold the hood up with one hand and use the other hand to return the hood prop to its original location Close the hood firmly and make sure that the hood latch engages.,Proc_6471,Task_27954
Task_27956,Proc_6471,"Allow 12-24 hours for all of the oil to drain out of the old oil filter. Take your old oil and filter to a recycling facility. Most auto parts stores and repair shops accept these at no charge to you. In addition, some cities and/or counties have a service where they will collect used oil and filters from your home. For more information, see the American Petroleum Institute's web page on [http://www.recycleoil.org/|used motor oil collection and recycling].",Proc_6471,Task_27955
Task_38904,Proc_10820,Open the rear part of the middle console.,Proc_10820,
Task_38906,Proc_10820,Grip the right side of the console and pull up towards the passenger seat to remove it.,Proc_10820,Task_38904
Task_38907,Proc_10820,Locate the two bolts under the air conditioning controls at the bottom of the face plate. Loosen these two bolts with a basic socket wrench suited for 7mm bolts.,Proc_10820,Task_38906
Task_38908,Proc_10820,"Wedge a spudger or plastic opening tool (in place of the screwdriver shown) under the top of the face plate. Apply pressure until the corners ""pop"" out of place.",Proc_10820,Task_38907
Task_39034,Proc_10820,Inspect the interior of the center console for damaged wires or other faulty components.,Proc_10820,Task_38908
Task_132385,Proc_62800,"Remove 4, 7.9mm  nuts using a 7.9mm socket driver head One of the nuts is placed underneath the L-Bracket. Remove the L-Bracket and the 3 circled nuts before attempting to remove the remaining nut There are two covers that need to be removed from the alternator. This step describes how to remove the back cover.",Proc_62800,
Task_132386,Proc_62800,"Pull cover off the body of the alternator Once you have done this, you should be able to see the internal components of the alternator, particularly the bridge assembly that houses the rectifier, voltage regulator and brushes.",Proc_62800,Task_132385
Task_132186,Proc_62800,"With the alternator cover removed, use a #2 Phillips screwdriver to remove the two, 6 mm screws that hold the brush cover in place. Remove the brush cover assembly from the alternator. You might need to insert a needle in the small hole to separate the brushes from the rotor. Pull it out without using much force to avoid damage. Avoid disconnecting wires unless otherwise specified!",Proc_62800,Task_132386
Task_132550,Proc_62800,Use a #2 Phillips screwdriver to remove the two 6mm screws holding down the voltage regulator There are three screws that attach the voltage regulator to the bridge assembly. One of these screws was removed in the previous step.,Proc_62800,Task_132186
Task_132552,Proc_62800,"Locate and unscrew the 3, 6mm screws holding the bridge assembly in place There are 4 screws attaching the bridge assembly to the alternator. One of these screws were removed in the previous step.",Proc_62800,Task_132550
Task_132560,Proc_62800,"Locate the copper leads connecting the stator to the bridge assembly. There are 3 sets of 2 leads on the perimeter of the bridge, making 6 leads total. These leads must be cut in order to remove the bridge from the alternator. These leads will have to be soldered back together on reassembly. Keep the cut as clean as possible. Use wire cutters to cut all 6 of the leads on the perimeter of the bridge.",Proc_62800,Task_132552
Task_132562,Proc_62800,"If necessary, use a pry bar to gently raise the top of the bridge assembly off the alternator Be extremely careful with the pry bar. Excessive force will damage the bridge assembly. Make sure the cut ends of the copper leads are straight to make bridge assembly easier to pull off.",Proc_62800,Task_132560
Task_132563,Proc_62800,Remove the lower section of the bridge assembly Use of a pry bar may be necessary. Be gentle.,Proc_62800,Task_132562
Task_132516,Proc_62800,"Use a Philips #2 Screwdriver or a 7.5mm socket driver to unscrew the 4, 7.5mm bolts running along the outer perimeter of the alternator",Proc_62800,Task_132563
Task_132630,Proc_62800,Use a c-clamp or another fixture to hold the pulley in place Be gentle with the clamp. Excessive force will bend the pulley out of shape,Proc_62800,Task_132516
Task_132631,Proc_62800,"Use a ratchet with a 25mm socket to remove the 25mm hex nut from the pulley May need to use a power ratchet, depending on how tight the fit is on the nut",Proc_62800,Task_132630
Task_132632,Proc_62800,"Once the nut is off, you can then remove the pulley.",Proc_62800,Task_132631
Task_132633,Proc_62800,"Once the pulley is removed,  separate the rotor and stator. The stator is the piece with copper windings.",Proc_62800,Task_132632
Task_132634,Proc_62800,"You can pull the stator out of the remaining cover and examine it. If the stator is scratched or damaged, you will need to replace it. Look for scoring marks or cut pieces of winding.",Proc_62800,Task_132633
